Code,Area name,Inner/ Outer London,2023_Population,2024_Population
E09000001,City of London,Inner,8408,8526
E09000002,Barking and Dagenham,Outer,226988,229337
E09000003,Barnet,Outer,418291,420924
E09000004,Bexley,Outer,260232,262798
E09000005,Brent,Outer,350714,353130
E09000006,Bromley,Outer,345216,347455
E09000007,Camden,Inner,262494,263550
E09000008,Croydon,Outer,411580,416582
E09000009,Ealing,Outer,385818,393434
E09000010,Enfield,Outer,352879,355209
E09000011,Greenwich,Outer,300514,306500
E09000012,Hackney,Inner,296177,297569
E09000013,Hammersmith and Fulham,Inner,206689,211895
E09000014,Haringey,Inner,295263,296572
E09000015,Harrow,Outer,267120,268448
E09000016,Havering,Outer,276649,281728
E09000017,Hillingdon,Outer,325182,327456
E09000018,Hounslow,Outer,291460,293167
E09000019,Islington,Inner,247009,247841
E09000020,Kensington and Chelsea,Inner,163255,164020
E09000021,Kingston upon Thames,Outer,187973,189276
E09000022,Lambeth,Inner,345285,346100
E09000023,Lewisham,Inner,325830,327730
E09000024,Merton,Outer,218298,220418
E09000025,Newham,Inner,372515,374424
E09000026,Redbridge,Outer,323302,326070
E09000027,Richmond upon Thames,Outer,206708,208321
E09000028,Southwark,Inner,336554,339444
E09000029,Sutton,Outer,216865,218218
E09000030,Tower Hamlets,Inner,341358,348363
E09000031,Waltham Forest,Outer,297439,299105
E09000032,Wandsworth,Inner,348272,353279
E09000033,Westminster,Inner,267274,269593
