Code,Area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,,,,,,,,,,,,,
E09000002,Barking and Dagenham,57.2,58.6,60.2,58.2,54,60,63.6,60,61.9,70.8,70.1,68.5,67.9
E09000003,Barnet,68.8,69.2,71.5,67.5,70.1,73.1,77.8,76.2,78.8,83.1,84,80.5,71.7
E09000004,Bexley,63.3,64.9,66,60.3,55,66.5,67.6,69.3,68.4,76,75.5,71.9,77.2
E09000005,Brent,62.1,58.7,62.9,60,60,63.8,67.4,69.7,69.1,74.7,75.4,72.8,65.9
E09000006,Bromley,67.2,68.9,73.9,65.6,68,72.2,70.7,70.1,72,77.1,78.8,77.3,65.6
E09000007,Camden,60.2,59,60.4,60.5,56.4,63.1,67.2,66.2,67.7,72.9,75.3,75.1,75.4
E09000008,Croydon,61,62.2,64.4,56.8,59.6,60.6,60.9,63.4,61.2,69,70.4,67.9,62.9
E09000009,Ealing,57.3,57.7,60.9,59.8,62.1,65,70.5,69.4,72,76.9,76.6,76.7,61
E09000010,Enfield,59.5,55.5,63.2,59.7,54.5,62.9,61.6,61.4,62.3,68.6,71.1,67.5,71.8
E09000011,Greenwich,54.5,63.1,65.4,59.6,57.7,60.8,62.7,58.5,62.3,70.1,70.8,69.8,73.1
E09000012,Hackney,57,60.2,61.2,58.8,60.4,69.7,66.6,67.6,69.4,75.4,73.6,73.6,69.3
E09000013,Hammersmith and Fulham,71.3,65.6,66.5,65.6,62.6,70.1,70.2,70.7,73.8,78.1,81,80,71.1
E09000014,Haringey,57.3,58.6,63.5,59.1,54.6,63.7,63.1,62.1,62.5,71.9,72.6,70.2,76
E09000015,Harrow,64.6,63.6,65.4,62.3,60.5,67.7,70.2,68.9,70.1,74.9,75.9,74.8,66
E09000016,Havering,63.9,61.5,63.7,60.2,57.7,64,68.3,67.8,69.8,77,76.1,71.6,80.1
E09000017,Hillingdon,59.5,61,61.6,58.6,57.5,65.3,66.8,67,68,75.1,74.2,74.9,69.4
E09000018,Hounslow,62.5,61.8,66.7,66.1,65.2,65.7,68.5,68.9,68.6,74.3,74.9,75.2,68
E09000019,Islington,49.4,53.6,63.5,59.9,57.9,64.2,63.9,64.1,63.5,71,72.9,70.5,73.2
E09000020,Kensington and Chelsea,73.1,79.6,80.2,73.8,67.2,75.5,76.7,73.7,75.5,82.1,82.6,79.7,64.5
E09000021,Kingston upon Thames,71,70.1,71.6,70,73.2,78.2,78.2,79.3,78.4,81.7,84.5,82.5,73.7
E09000022,Lambeth,61.1,62.8,65.9,57,56.5,62.4,60.2,59.8,58.5,69.1,71.5,66.1,65.7
E09000023,Lewisham,55.9,55.6,58,51.3,51.9,56.2,58.7,60.9,58.1,66.6,67.5,66.6,66.3
E09000024,Merton,59.8,59.1,62.6,64.2,60,69.5,69.7,68.3,68.8,75,73.2,76,71.4
E09000025,Newham,58.5,61.9,58.4,55.4,59.4,63.1,65.2,65.6,66.6,73.1,74.3,76.3,69.4
E09000026,Redbridge,68.5,70.6,70.2,68.1,63.4,71.8,73.2,74.4,76.5,79.1,79.5,79,70.1
E09000027,Richmond upon Thames,63.2,62.6,68.3,63.5,64.7,71.3,76.1,71.7,76.6,82.1,83.8,83,72
E09000028,Southwark,58,58.8,65.2,62.4,64.3,69.3,68.4,68.5,66.3,75.4,77.2,75.4,81
E09000029,Sutton,74.7,75.9,77,72.1,70.4,76.8,78,79.7,79.7,84.4,84.8,82,73.9
E09000030,Tower Hamlets,61.4,61.8,64.7,59.7,64.6,63.3,65.2,64.3,68.2,73.4,74.4,71.2,78.3
E09000031,Waltham Forest,54.3,52.6,56.7,56.7,57.4,63.6,63.1,63.3,64.1,71,68.7,68.9,80
E09000032,Wandsworth,61.7,58.3,61.3,59.1,58.2,69.6,70.9,71.7,69.4,74.7,74.6,77.3,82.5
E09000033,Westminster,63.1,69.9,69.6,68.1,67.5,71.6,74.7,73.8,75.2,81.6,82.4,81.8,64.8
