BoroughName,Code,Inner/ Outer London,2011_CrimeRate_per1000,2012_CrimeRate_per1000,2013_CrimeRate_per1000,2014_CrimeRate_per1000,2015_CrimeRate_per1000,2016_CrimeRate_per1000,2017_CrimeRate_per1000,2018_CrimeRate_per1000,2019_CrimeRate_per1000,2020_CrimeRate_per1000,2021_CrimeRate_per1000,2022_CrimeRate_per1000,2023_CrimeRate_per1000,2024_CrimeRate_per1000
Barking and Dagenham,E09000002,Outer,97.2692057326404,89.0132967441568,80.15261295772333,79.35253645253998,84.46493516761542,82.99774231444194,87.82830514030013,85.43847198657724,90.56679295162387,81.19358694308205,85.93873450867966,89.57385464802792,92.22513965495973,85.84310425269364
Barnet,E09000003,Outer,71.61690241658815,69.2474819472026,61.188560222966764,61.57907367410608,64.79097223319273,65.23337769745054,67.64662303357295,71.13227838377631,77.71092272400793,62.12237319107548,66.91143395538265,66.23682961442364,67.79968968971362,66.23998631581948
Bexley,E09000004,Outer,51.364365971107546,52.74222917794959,48.69678998797037,50.61372051663314,51.58641746090688,53.91284471076134,59.31733682877591,62.468249872999486,71.31304743262749,56.00658901047182,59.26531565730304,60.93802565282456,63.827661471302534,62.71356707433086
Brent,E09000005,Outer,95.5079148088053,85.19202913479916,74.79024089681643,76.74105490965513,79.46104521765362,83.02820175451923,89.13899323816679,89.25989805823802,87.84009861759267,78.78075805649507,80.58319405837136,84.41351786067555,91.0571006575158,90.94101322459152
Bromley,E09000006,Outer,68.982032078686,63.6570542162547,59.93939489095791,62.330269642113635,64.84067938281507,63.38469055871979,68.69562326802837,69.8127327316497,75.3831979227741,60.75001114760921,67.56494022965481,65.61416210282938,68.64977289581016,69.23198687599833
Camden,E09000007,Inner,158.95077855575295,145.86528331577472,122.30212695565868,118.87840916349082,124.85791801143294,121.57364530018685,153.50061709596244,142.37423655284064,155.7806250635943,99.73424921518043,113.37065827626627,134.91163695697136,155.11592645927144,162.07550749383418
Croydon,E09000008,Outer,87.70746816879789,83.4295690267454,74.4757908743615,74.4309116051484,75.6639958209223,77.75225998158533,77.75154912953673,78.20677952240759,85.03132029413841,77.11256345684934,81.00659047590722,81.14439257970615,82.69595218426551,83.7770234911734
Ealing,E09000009,Outer,93.03872933625779,87.31401493158799,74.34846650818882,74.69289191138468,78.18060044844356,81.24652522071216,81.1175192869448,81.09263820470717,87.9316965193233,75.42153424369806,77.15758010197871,77.00917664242847,82.24603310369137,79.20261085722129
Enfield,E09000010,Outer,70.56440697937333,70.40833367468798,68.51840299438553,67.82997073771755,68.68609383608973,69.6350510301052,75.65984501574572,83.18996023062094,88.93307411334983,78.71006113827396,85.01449651650871,85.06145819642623,82.7677475848662,82.76254261575579
Greenwich,E09000011,Outer,85.61822117322875,80.23670732270021,72.37280688463986,76.36278370391324,78.91835241973341,84.52420951795429,88.28958815166882,89.5460355823164,98.10806145347833,80.72391320700525,87.76374742654417,89.12971024006949,93.21362731852759,89.54649265905383
Hackney,E09000012,Inner,108.19216570131434,110.66273290695602,99.74590243429347,97.6338096575171,101.97286613091813,107.87742496039019,112.86061807370034,112.22403634556684,118.95958802478835,100.23904272370531,106.28614869376727,104.66783549430536,109.6438953733747,110.9087304121061
