Code,BoroughName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,75.79,76.98,79.65,85.33,91.34,97.88,103.19,101.2,97.63,96.86,97.9,74.62,66.02
E09000002,Barking and Dagenham,0.45,0.45,0.44,0.46,0.47,0.47,0.48,0.47,0.47,0.5,0.5,0.52,0.46
E09000003,Barnet,0.62,0.65,0.66,0.68,0.68,0.67,0.7,0.67,0.65,0.64,0.7,0.66,0.63
E09000004,Bexley,0.53,0.53,0.54,0.54,0.57,0.56,0.59,0.56,0.59,0.55,0.55,0.59,0.57
E09000005,Brent,0.53,0.56,0.56,0.57,0.58,0.63,0.66,0.66,0.64,0.63,0.62,0.62,0.64
E09000006,Bromley,0.61,0.61,0.64,0.63,0.6,0.65,0.65,0.61,0.64,0.62,0.6,0.66,0.63
E09000007,Camden,2.06,2.16,2.22,2.37,2.4,2.46,2.52,2.55,2.55,2.5,2.72,2.71,2.71
E09000008,Croydon,0.56,0.58,0.53,0.57,0.58,0.59,0.62,0.59,0.56,0.56,0.55,0.59,0.57
E09000009,Ealing,0.63,0.62,0.63,0.66,0.66,0.68,0.68,0.6,0.63,0.64,0.63,0.63,0.65
E09000010,Enfield,0.54,0.57,0.57,0.6,0.62,0.6,0.59,0.62,0.63,0.59,0.58,0.61,0.63
E09000011,Greenwich,0.47,0.46,0.48,0.52,0.51,0.51,0.53,0.54,0.54,0.51,0.51,0.53,0.51
E09000012,Hackney,0.63,0.62,0.6,0.7,0.72,0.75,0.73,0.78,0.81,0.79,0.92,0.95,1.03
E09000013,Hammersmith and Fulham,1.03,1.07,1.01,1.07,1.1,1.13,1.14,1.1,1.14,1.19,1.12,1.16,1.17
E09000014,Haringey,0.41,0.44,0.44,0.47,0.48,0.46,0.47,0.47,0.45,0.49,0.49,0.58,0.52
E09000015,Harrow,0.48,0.5,0.48,0.54,0.53,0.55,0.58,0.54,0.53,0.53,0.5,0.54,0.58
E09000016,Havering,0.55,0.56,0.6,0.59,0.6,0.63,0.64,0.64,0.6,0.59,0.64,0.67,0.63
E09000017,Hillingdon,1.11,1.15,1.13,1.15,1.05,1.04,1.1,1.05,1.03,1.03,1.01,1.07,0.98
E09000018,Hounslow,0.85,0.89,0.92,0.88,0.99,1.04,0.98,0.92,0.95,0.86,0.86,0.91,0.9
E09000019,Islington,1.29,1.31,1.37,1.42,1.51,1.5,1.47,1.52,1.56,1.48,1.63,1.67,1.67
E09000020,Kensington and Chelsea,1.2,1.27,1.26,1.26,1.34,1.41,1.56,1.55,1.55,1.44,1.53,1.53,1.45
E09000021,Kingston upon Thames,0.73,0.73,0.72,0.74,0.84,0.88,0.89,0.86,0.81,0.79,0.8,0.82,0.82
E09000022,Lambeth,0.66,0.66,0.72,0.75,0.76,0.71,0.76,0.71,0.73,0.71,0.73,0.8,0.75
E09000023,Lewisham,0.39,0.4,0.41,0.43,0.4,0.4,0.41,0.39,0.4,0.39,0.42,0.45,0.43
E09000024,Merton,0.62,0.63,0.67,0.67,0.67,0.64,0.71,0.72,0.68,0.66,0.63,0.63,0.73
E09000025,Newham,0.41,0.44,0.47,0.49,0.49,0.53,0.53,0.57,0.53,0.55,0.58,0.62,0.6
E09000026,Redbridge,0.42,0.47,0.44,0.46,0.47,0.47,0.49,0.45,0.47,0.44,0.46,0.47,0.48
E09000027,Richmond upon Thames,0.76,0.73,0.75,0.75,0.81,0.86,0.84,0.88,0.81,0.79,0.78,0.81,0.75
E09000028,Southwark,1.16,1.25,1.16,1.27,1.28,1.35,1.39,1.43,1.37,1.33,1.32,1.44,1.53
E09000029,Sutton,0.62,0.62,0.6,0.6,0.62,0.64,0.65,0.59,0.63,0.61,0.71,0.79,0.63
E09000030,Tower Hamlets,1.32,1.3,1.34,1.35,1.41,1.4,1.44,1.48,1.48,1.39,1.31,1.34,1.46
E09000031,Waltham Forest,0.4,0.43,0.44,0.45,0.45,0.45,0.46,0.45,0.47,0.44,0.43,0.5,0.59
E09000032,Wandsworth,0.55,0.59,0.57,0.56,0.6,0.61,0.62,0.6,0.62,0.59,0.61,0.63,0.61
E09000033,Westminster,4.16,4.32,4.53,4.68,4.74,4.86,4.86,5.02,5.21,4.9,5.23,5.31,5.33
