BoroughName,Code,Location
Barking and Dagenham,E09000002,East
Barnet,E09000003,North
Bexley,E09000004,South
Brent,E09000005,West
Bromley,E09000006,South
Camden,E09000007,Central
Croydon,E09000008,South
Ealing,E09000009,West
Enfield,E09000010,North
Greenwich,E09000011,South
Hackney,E09000012,Central
Hammersmith and Fulham,E09000013,West
Haringey,E09000014,North
Harrow,E09000015,West
Havering,E09000016,East
Hillingdon,E09000017,West
Hounslow,E09000018,West
Islington,E09000019,Central
Kensington and Chelsea,E09000020,Central
Kingston upon Thames,E09000021,South
Lambeth,E09000022,Central
Lewisham,E09000023,South
Merton,E09000024,South
Newham,E09000025,East
Redbridge,E09000026,East
Richmond upon Thames,E09000027,West
Southwark,E09000028,Central
Sutton,E09000029,South
Tower Hamlets,E09000030,Central
Waltham Forest,E09000031,East
Wandsworth,E09000032,South
Westminster,E09000033,Central
