BoroughName,Code,Inner/ Outer London,Year,Crime_per_1000,Job_Density,Population_Density,Median_Income
Barking and Dagenham,E09000002,Outer,2011,97.2692057326404,0.45,5190.510409,19400.0
Barnet,E09000003,Outer,2011,71.61690241658815,0.62,4122.881282,24100.0
Bexley,E09000004,Outer,2011,51.364365971107546,0.53,3846.14445,22600.0
Brent,E09000005,Outer,2011,95.5079148088053,0.53,7241.843702,19700.0
Bromley,E09000006,Outer,2011,68.982032078686,0.61,2072.203176,25800.0
Camden,E09000007,Inner,2011,158.95077855575295,2.06,10100.69394,29400.0
Croydon,E09000008,Outer,2011,87.70746816879789,0.56,4217.337225,22000.0
Ealing,E09000009,Outer,2011,93.0387293362578,0.63,6115.208391,20800.0
Enfield,E09000010,Outer,2011,70.56440697937333,0.54,3884.737637,20900.0
Greenwich,E09000011,Outer,2011,85.61822117322875,0.47,5397.467314,21300.0
Hackney,E09000012,Inner,2011,108.19216570131434,0.63,12996.88567,22300.0
Hammersmith and Fulham,E09000013,Inner,2011,122.85135948356036,1.03,11147.46296,27100.0
Haringey,E09000014,Inner,2011,96.84212168243396,0.41,8663.918071,21500.0
Harrow,E09000015,Outer,2011,56.94776884051058,0.48,4777.048985,22300.0
Havering,E09000016,Outer,2011,70.91207439955346,0.55,2120.88748,22500.0
Hillingdon,E09000017,Outer,2011,93.05264835188711,1.11,2386.614403,21900.0
Hounslow,E09000018,Outer,2011,94.25693405500246,0.85,4561.334835,21600.0
Islington,E09000019,Inner,2011,126.6072716186199,1.29,13908.85001,26100.0
Kensington and Chelsea,E09000020,Inner,2011,125.95492020270784,1.2,13085.76624,31700.0
Kingston upon Thames,E09000021,Outer,2011,67.91342876194156,0.73,4306.600522,24800.0
Lambeth,E09000022,Inner,2011,116.56518201622004,0.66,11369.17576,24000.0
Lewisham,E09000023,Inner,2011,95.44725700387352,0.39,7895.606666,23200.0
Merton,E09000024,Outer,2011,68.52991164163677,0.62,5348.236578,24700.0
Newham,E09000025,Inner,2011,98.17192028520864,0.41,8616.736822,17400.0
Redbridge,E09000026,Outer,2011,83.38276718255476,0.42,4989.826388,22200.0
Richmond upon Thames,E09000027,Outer,2011,61.4258213483925,0.76,3266.634771,30600.0
Southwark,E09000028,Inner,2011,116.56719461157516,1.16,10025.66243,23800.0
Sutton,E09000029,Outer,2011,59.98485758295695,0.62,4367.803567,22300.0
Tower Hamlets,E09000030,Inner,2011,109.00130510158364,1.32,12976.15988,24000.0
Waltham Forest,E09000031,Outer,2011,93.18463730380918,0.4,6709.885804,19700.0
Wandsworth,E09000032,Inner,2011,75.23516055789815,0.55,8997.737287,29000.0
Westminster,E09000033,Inner,2011,290.62036050313776,4.16,10219.3049,31400.0
Barking and Dagenham,E09000002,Outer,2012,89.0132967441568,0.45,5288.300868,19600.0
Barnet,E09000003,Outer,2012,69.2474819472026,0.65,4196.865428,24200.0
Bexley,E09000004,Outer,2012,52.74222917794959,0.53,3870.855303,22300.0
Brent,E09000005,Outer,2012,85.19202913479916,0.56,7297.704278,20200.0
