Code,Area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,,,,,,,,43,52,55,55,46,49
E09000002,Barking and Dagenham,105,111,111,103,102,111,105,113,116,104,106,108,114
E09000003,Barnet,85,84,88,88,83,83,84,84,84,82,79,79,76
E09000004,Bexley,92,93,94,91,95,92,92,92,96,94,93,97,93
E09000005,Brent,87,87,89,90,85,91,89,87,89,85,86,83,80
E09000006,Bromley,91,88,89,88,89,89,84,90,84,88,85,89,87
E09000007,Camden,98,93,91,93,92,81,80,76,77,72,75,69,68
E09000008,Croydon,90,94,94,98,95,98,90,95,96,91,92,94,93
E09000009,Ealing,88,91,96,93,91,93,90,91,88,89,84,89,88
E09000010,Enfield,90,95,94,90,86,90,92,92,95,89,89,87,87
E09000011,Greenwich,109,109,109,108,104,105,101,106,102,103,101,96,99
E09000012,Hackney,100,99,97,97,90,104,96,100,105,98,100,88,93
E09000013,Hammersmith and Fulham,91,91,87,85,91,94,96,91,99,87,90,95,89
E09000014,Haringey,105,96,97,102,95,93,86,92,91,85,84,86,92
E09000015,Harrow,82,80,81,80,81,78,75,77,77,73,74,72,74
E09000016,Havering,99,96,97,97,94,95,95,93,92,97,99,93,99
E09000017,Hillingdon,93,94,94,94,94,98,90,93,95,87,90,100,95
E09000018,Hounslow,104,101,101,103,104,96,97,91,91,94,94,96,93
E09000019,Islington,114,111,116,110,113,102,102,97,103,90,100,101,95
E09000020,Kensington and Chelsea,62,59,61,59,59,79,71,73,71,69,74,64,64
E09000021,Kingston upon Thames,91,87,86,84,87,85,93,81,88,85,86,85,82
E09000022,Lambeth,104,112,110,101,101,101,100,99,102,98,95,95,93
E09000023,Lewisham,108,118,107,111,113,99,98,102,101,93,97,99,99
E09000024,Merton,88,86,83,80,83,93,93,93,91,88,88,91,90
E09000025,Newham,109,115,112,111,107,107,103,101,104,93,97,94,93
E09000026,Redbridge,92,93,92,94,92,89,93,86,94,87,85,84,83
E09000027,Richmond upon Thames,81,80,77,81,81,80,81,75,84,76,78,74,77
E09000028,Southwark,96,98,91,94,89,96,97,101,96,95,96,90,90
E09000029,Sutton,96,93,93,94,91,92,92,101,87,95,87,96,90
E09000030,Tower Hamlets,117,112,108,107,105,112,101,107,102,97,96,99,86
E09000031,Waltham Forest,107,104,107,106,102,98,92,98,97,90,87,87,86
E09000032,Wandsworth,100,100,95,95,95,100,98,94,96,94,94,87,93
E09000033,Westminster,73,65,70,73,70,83,75,75,77,72,71,64,63
