Code,BoroughName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,2552.399607,2480.772635,2358.180317,2366.444967,2465.620775,2548.611642,2549.989084,2645.032566,2738.698607,2770.724128,2811.35866,2854.403716,2895.382609
E09000002,Barking and Dagenham,5190.510409,5288.300868,5393.319679,5502.492715,5604.548179,5728.64873,5830.122602,5892.712927,5950.456656,6047.637829,6134.26727,6214.914626,6286.394993
E09000003,Barnet,4122.881282,4196.865428,4256.02508,4323.196414,4378.252239,4451.936668,4512.433521,4577.022673,4638.280347,4693.439921,4741.014333,4784.42728,4821.891985
E09000004,Bexley,3846.14445,3870.855303,3910.736012,3963.194992,4000.781239,4043.996346,4080.162999,4126.712502,4174.351461,4208.768381,4239.718849,4268.804035,4295.627774
E09000005,Brent,7241.843702,7297.704278,7357.936551,7438.847647,7514.022335,7612.14265,7696.731523,7791.775459,7880.851682,7953.551388,8013.321047,8067.585607,8112.250937
E09000006,Bromley,2072.203176,2095.395653,2121.125847,2143.632274,2167.470837,2181.005332,2204.077917,2216.226991,2226.610987,2240.61839,2261.073329,2281.601535,2299.372221
E09000007,Camden,10100.69394,10324.38177,10542.69998,10777.99901,11063.13903,11298.20859,11453.14706,11594.54677,11727.13482,11812.40605,11902.35847,11982.12241,12046.92488
E09000008,Croydon,4217.337225,4264.398831,4309.090595,4347.100558,4381.67714,4419.5137,4466.24006,4523.463089,4584.177301,4627.227515,4664.093018,4698.056908,4757.950345
E09000009,Ealing,6115.208391,6139.639338,6172.459985,6165.690614,6182.632045,6185.098544,6249.533593,6315.39093,6376.603326,6514.313214,6655.677841,6803.865851,6946.130661
E09000010,Enfield,3884.737637,3926.206377,3966.252413,4016.35635,4064.097361,4100.741277,4152.404004,4177.765256,4199.823359,4243.283886,4288.340315,4329.895655,4365.586978
E09000011,Greenwich,5397.467314,5494.33242,5577.570918,5676.231777,5805.631727,5910.482657,5974.031236,6048.988138,6119.297204,6178.789491,6228.880476,6275.401078,6348.815743
E09000012,Hackney,12996.88567,13256.05904,13532.18866,13835.14379,14142.71859,14379.84359,14566.36232,14790.25829,15036.20264,15196.99827,15330.07595,15450.23958,15548.14485
E09000013,Hammersmith and Fulham,11147.46296,10989.20668,10918.15906,10898.64383,10962.31226,10977.19262,11092.5154,11224.30416,11347.79895,11631.13564,11951.91717,12282.76123,12604.94541
E09000014,Haringey,8663.918071,8777.843198,8929.000084,9069.379355,9249.220236,9437.980522,9540.959107,9604.847724,9660.965647,9761.106239,9842.766094,9916.182257,9975.644957
E09000015,Harrow,4777.048985,4814.264559,4834.001893,4886.278083,4908.452858,4940.595383,4994.8136,5060.545261,5129.744827,5179.028711,5221.356968,5260.296586,5293.410125
E09000016,Havering,2120.88748,2136.962294,2157.852432,2192.512081,2220.202417,2253.117513,2280.042381,2292.049538,2302.232033,2330.492019,2366.98523,2415.387688,2462.392723
E09000017,Hillingdon,2386.614403,2440.693387,2484.357608,2535.195484,2578.799204,2619.73225,2653.733645,2678.67722,2701.50327,2733.361211,2761.139677,2787.284623,2810.534178
E09000018,Hounslow,4561.334835,4635.024615,4694.958969,4751.42767,4808.628803,4850.949067,4912.11605,4970.960689,5025.89307,5079.825057,5126.075442,5169.146002,5206.696527
E09000019,Islington,13908.85001,14229.31244,14540.55341,14901.26715,15349.68569,15697.87979,15842.73069,16037.72747,16261.33095,16344.6606,16448.65439,16547.39801,16626.1506
E09000020,Kensington and Chelsea,13085.76624,12894.32798,12866.61438,12915.77302,13041.22653,12959.9828,13028.19454,13139.29637,13240.74793,13262.44041,13324.96097,13398.69893,13465.42601
E09000021,Kingston upon Thames,4306.600522,4399.726944,4477.207053,4562.148012,4657.877679,4727.172325,4788.335183,4819.520457,4846.814282,4903.978339,4955.828555,5003.438431,5044.741476
E09000022,Lambeth,11369.17576,11582.49141,11733.25585,11881.48393,12113.30011,12243.06496,12351.9794,12485.0266,12608.26403,12693.90361,12765.74238,12830.34506,12878.94626
E09000023,Lewisham,7895.606666,8026.989105,8158.542246,8322.215519,8475.618315,8604.83855,8716.533538,8828.740628,8934.091251,9031.902604,9120.353882,9201.351242,9269.887469
E09000024,Merton,5348.236578,5392.941208,5419.46631,5427.227161,5455.134332,5467.466644,5534.257807,5566.045403,5593.447588,5652.079225,5707.415159,5758.498571,5801.980601
E09000025,Newham,8616.736822,8716.851772,8831.304376,8999.68203,9234.360976,9459.812992,9598.437942,9758.583186,9930.55216,10043.31961,10136.99781,10221.55958,10290.9273
E09000026,Redbridge,4989.826388,5046.934812,5111.717956,5196.494365,5262.748645,5306.280082,5386.253144,5422.109861,5453.659518,5534.731502,5606.054996,5672.167479,5730.374824
